Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0195400000219000399;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;28.06.2019;28.06.2019;Определение поставщика отменено;;28.06.2019;18.07.2019;;;;;
№0195400000219000618;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;30.09.2019;10.10.2019;Определение поставщика завершено;;30.09.2019;09.10.2019;;;;;
№0195400000219000424;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;19.07.2019;01.08.2019;Определение поставщика завершено;;19.07.2019;31.07.2019;;;;;
№0195400000219000490;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;15.08.2019;12.09.2019;Определение поставщика завершено;;15.08.2019;11.09.2019;;;;;
№0161100002919000008;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";ГЛАВНОЕ УПРАВЛЕНИЕ  МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО САХАЛИНСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ  МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО САХАЛИНСКОЙ ОБЛАСТИ;18.02.2019;11.03.2019;Определение поставщика завершено;;18.02.2019;07.03.2019;;;;;
№31806042742;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ЭЛЕКТРОПРИБОР""";;23.01.2018;24.01.2018;Закупка завершена;;23.01.2018;01.02.2018;;;;;
№0157300021021000237;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ ПЕЧОРСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ПЕЧОРСКОГО РАЙОНА;09.09.2021;20.09.2021;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;09.09.2021;20.09.2021;;;;;
№32110215251;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;21.04.2021;21.04.2021;Закупка завершена;;21.04.2021;11.05.2021;;;;;
№32110152428;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;01.04.2021;01.04.2021;Закупка отменена;;01.04.2021;19.04.2021;;;;;
№31502419126;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;01.06.2015;01.06.2015;Закупка завершена;;01.06.2015;;;;;;
№31502160820;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;23.03.2015;23.03.2015;Закупка завершена;;23.03.2015;10.04.2015;;;;;
№31806563159;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;01.06.2018;01.06.2018;Закупка завершена;;01.06.2018;19.06.2018;;;;;
№32413400753;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;19.03.2024;17.04.2024;Закупка завершена;;19.03.2024;16.05.2024;;;;;
№31907954651;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;04.06.2019;14.06.2019;Закупка завершена;;04.06.2019;26.06.2019;;;;;
№31907576626;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;26.02.2019;06.03.2019;Закупка завершена;;26.02.2019;13.03.2019;;;;;
№31604363059;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;22.11.2016;28.11.2016;Закупка завершена;;22.11.2016;02.12.2016;;;;;
№0373100119614000019;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";09.09.2014;07.10.2014;Определение поставщика завершено;;12.09.2014;26.09.2014;;;;;
№0373100119614000012;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";09.07.2014;01.09.2014;Определение поставщика завершено;;05.08.2014;21.08.2014;;;;;
№31502972723;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - СЕРВИС""";;18.11.2015;23.11.2015;Закупка завершена;;18.11.2015;09.12.2015;;;;;
№31502415061;;;Федеральное государственное унитарное предприятие атомного флота;;29.05.2015;29.05.2015;Закупка отменена;;29.05.2015;;;;;;
№0424100000315000034;;;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"Открытое акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";30.11.2015;29.01.2016;Определение поставщика завершено;;11.01.2016;25.01.2016;;;;;
№31908471238;64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;31.10.2019;31.10.2019;Закупка отменена;;31.10.2019;18.11.2019;;;;;
№31908380137;64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;08.10.2019;15.10.2019;Закупка завершена;;08.10.2019;24.10.2019;;;;;
№31502434449;;;Федеральное государственное унитарное предприятие атомного флота;;04.06.2015;04.06.2015;Закупка завершена;;04.06.2015;;;;;;
№31502434176;;;Федеральное государственное унитарное предприятие атомного флота;;04.06.2015;04.06.2015;Закупка завершена;;04.06.2015;;;;;;
№31502434342;;;Федеральное государственное унитарное предприятие атомного флота;;04.06.2015;04.06.2015;Закупка завершена;;04.06.2015;;;;;;
№32008959249;64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);64.91.10: Услуги по финансовой аренде (лизингу/сублизингу);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;05.03.2020;05.03.2020;Закупка отменена;;05.03.2020;23.03.2020;;;;;
№31502079997;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;27.02.2015;27.02.2015;Закупка завершена;;27.02.2015;20.03.2015;;;;;
№1372000000314000033;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";"Открытое акционерное общество ""Адмиралтейские верфи""";30.12.2014;16.04.2015;Определение поставщика завершено;;30.12.2014;20.01.2015;;;;;
№0173200001421000699;41.20.40: Работы строительные по возведению нежилых зданий и сооружений (работы по строительству новых объектов, возведению пристроек, реконструкции и ремонту зданий);41.20.40.000-00000004: Выполнение работ по строительству объекта инфраструктуры внутренних водных путей;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;13.05.2021;25.05.2021;Определение поставщика завершено;;13.05.2021;24.05.2021;;;;;
№31300669016;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;12.11.2013;12.11.2013;Закупка завершена;;12.11.2013;25.11.2013;;;;;
№31705819673;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";01.12.2017;01.12.2017;Закупка завершена;;01.12.2017;22.12.2017;;;;;
№31807390815;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;29.12.2018;29.12.2018;Закупка завершена;;29.12.2018;21.01.2019;;;;;
№31806913494;30.11: Корабли, суда и плавучие конструкции;30.11: Корабли, суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;12.09.2018;12.09.2018;Закупка завершена;;12.09.2018;;;;;;
№0352100012723000048;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";04.07.2023;21.07.2023;Определение поставщика завершено;;;21.07.2023;;;;;
№0324100010423000160;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";30.06.2023;20.07.2023;Определение поставщика завершено;;;20.07.2023;;;;;
№32008856732;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;07.02.2020;07.02.2020;Закупка завершена;;07.02.2020;07.02.2020;;;;;
№31705466012;30.1: Корабли, суда и лодки;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - СЕРВИС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - СЕРВИС""";28.08.2017;28.08.2017;Закупка отменена;;;18.09.2017 10:00;;;;;
№31401325568;;;"Открытое акционерное общество ""Флот Новороссийского морского торгового порта""";"Открытое акционерное общество ""Флот Новороссийского морского торгового порта""";08.07.2014;08.07.2014;Закупка завершена;;;22.07.2014 12:00;;;;;
№31806529608;30.1: Корабли, суда и лодки;30.1: Корабли, суда и лодки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;25.05.2018;25.05.2018;Закупка завершена;;25.05.2018;;;;;;
№0172200002523000160;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ВНЕШНЕГО ТРАНСПОРТА""";КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;13.04.2023;10.05.2023;Определение поставщика завершено;;13.04.2023;04.05.2023;;;;;
№32413471483;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТВЕННЫЙ ТРЕСТ ""АРКТИКУГОЛЬ""";;04.04.2024;04.04.2024;Закупка завершена;;04.04.2024;;;;;;
№31806301107;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНЫЙ ПОРТ""";;29.03.2018;29.03.2018;Закупка завершена;;29.03.2018;02.05.2018;;;;;
№1020600000221000005;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""РАСЧЁТНО-КАССОВЫЙ ЦЕНТР"" ГОРОДСКОГО ОКРУГА ЗАТО ГОРОД ФОКИНО";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""РАСЧЁТНО-КАССОВЫЙ ЦЕНТР"" ГОРОДСКОГО ОКРУГА ЗАТО ГОРОД ФОКИНО";18.06.2021;30.06.2021;Определение поставщика завершено;;18.06.2021;28.06.2021;;;;;
№32110004421;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАХОДКИНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";;18.02.2021;18.02.2021;Закупка завершена;;18.02.2021;;;;;;
№31704846694;"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРНОМОРСКИЕ КРУИЗЫ""";;01.03.2017;01.03.2017;Закупка завершена;;01.03.2017;;;;;;
№31806638053;30.11.32.110: Суда морские буксирные;30.11.32.110: Суда морские буксирные;"Открытое акционерное общество ""Ленское объединенное речное пароходство""";;22.06.2018;22.06.2018;Закупка завершена;;22.06.2018;29.06.2018;;;;;
